INFO  - 2016-06-30 09:34:17.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-06-30 09:34:17.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-06-30 09:34:18.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.012; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.012; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.013; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-06-30 09:34:18.020; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-06-30 09:34:18.021; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-06-30 09:34:18.029; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.030; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-06-30 09:34:18.030; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.030; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.032; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-06-30 09:34:18.032; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.032; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-06-30 09:34:18.033; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-06-30 09:34:18.033; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-06-30 09:34:18.038; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-06-30 09:34:18.038; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.038; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.042; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2016-06-30 09:34:18.043; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-06-30 09:34:18.044; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-06-30 09:34:18.044; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.044; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.046; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.047; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-06-30 09:34:18.047; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-06-30 09:34:18.048; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-06-30 09:34:18.050; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2016-06-30 09:34:18.051; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-06-30 09:34:18.052; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
